frame_no,user_position,user_orientation,camera_hit_obj,camera_hit_point,camera_hit_dist,controller_hit_obj,controller_hit_point,controller_hit_distance
1020,"(-11.88,3.31,1.72)","(-0.17,0.00,0.99)",Wall North,"(-13.70,3.31,12.25)",10.69,Sphere,"(-12.72,2.79,3.63)",1.81
1030,"(-11.88,3.31,1.72)","(-0.17,0.00,0.99)",Wall North,"(-13.70,3.31,12.25)",10.69,Sphere,"(-12.72,2.79,3.63)",1.81
1040,"(-11.88,3.31,1.72)","(-0.17,0.00,0.99)",Wall North,"(-13.70,3.31,12.25)",10.69,Sphere,"(-12.72,2.79,3.63)",1.81
1050,"(-11.88,3.31,1.72)","(-0.17,0.00,0.99)",Wall North,"(-13.70,3.31,12.25)",10.69,Sphere,"(-12.72,2.79,3.63)",1.81
1060,"(-11.70,3.31,1.75)","(-0.13,0.00,0.99)",Wall North,"(-13.40,3.31,12.25)",10.64,Sphere,"(-12.60,2.79,3.68)",1.83
1070,"(-11.29,3.31,1.78)","(-0.05,0.00,1.00)",Wall North,"(-12.04,3.31,12.25)",10.49,Sphere,"(-12.01,2.79,3.78)",1.83
1080,"(-11.29,3.31,1.78)","(-0.05,0.00,1.00)",Wall North,"(-11.78,3.31,12.25)",10.48,Sphere,"(-11.89,2.79,3.78)",1.81
1090,"(-11.29,3.31,1.78)","(-0.05,0.00,1.00)",Wall North,"(-11.78,3.31,12.25)",10.48,Sphere,"(-11.89,2.79,3.78)",1.81
1100,"(-11.30,3.31,2.06)","(-0.05,0.00,1.00)",Wall North,"(-11.78,3.31,12.25)",10.28,Sphere,"(-11.90,2.79,3.98)",1.81
1110,"(-11.32,3.31,2.46)","(-0.05,0.00,1.00)",Wall North,"(-11.78,3.31,12.25)",9.88,Sphere,"(-11.95,2.77,4.45)",1.89
1120,"(-11.32,3.31,2.46)","(-0.05,0.00,1.00)",Wall North,"(-11.78,3.31,12.25)",9.80,Sphere,"(-11.98,2.75,4.58)",1.95
1130,"(-11.32,3.31,2.46)","(-0.05,0.00,1.00)",Wall North,"(-11.78,3.31,12.25)",9.80,Sphere,"(-11.98,2.75,4.58)",1.95
1140,"(-11.32,3.31,2.46)","(-0.05,0.00,1.00)",Wall North,"(-11.78,3.31,12.25)",9.80,Sphere,"(-11.98,2.75,4.58)",1.95
1150,"(-11.32,3.31,2.46)","(-0.05,0.00,1.00)",Wall North,"(-11.78,3.31,12.25)",9.80,Sphere,"(-11.98,2.75,4.58)",1.95
1160,"(-11.32,3.31,2.46)","(-0.05,0.00,1.00)",Wall North,"(-11.78,3.31,12.25)",9.80,Sphere,"(-11.98,2.75,4.58)",1.95
1170,"(-11.32,3.31,2.46)","(-0.05,0.00,1.00)",Wall North,"(-11.78,3.31,12.25)",9.80,Sphere,"(-11.98,2.75,4.58)",1.95
1180,"(-11.32,3.31,2.46)","(-0.05,0.00,1.00)",Wall North,"(-11.78,3.31,12.25)",9.80,Sphere,"(-11.98,2.75,4.59)",1.96
1190,"(-11.32,3.31,2.46)","(-0.05,0.00,1.00)",Wall North,"(-11.78,3.31,12.25)",9.80,Sphere,"(-12.00,2.74,4.63)",2.01
1200,"(-11.32,3.31,2.46)","(-0.05,0.00,1.00)",Wall North,"(-11.78,3.31,12.25)",9.80,Sphere,"(-12.05,2.70,4.74)",2.14
1210,"(-11.32,3.31,2.46)","(-0.05,0.00,1.00)",Wall North,"(-11.78,3.31,12.25)",9.80,Wall West,"(-14.21,1.14,9.23)",7.36
1220,"(-11.30,3.31,2.06)","(-0.05,0.00,1.00)",Wall North,"(-11.78,3.31,12.25)",10.08,Wall West,"(-14.21,1.13,8.98)",7.39
1230,"(-11.28,3.31,1.66)","(-0.05,0.00,1.00)",Wall North,"(-11.78,3.31,12.25)",10.48,Wall West,"(-14.21,1.11,8.62)",7.44
1240,"(-11.26,3.31,1.26)","(-0.05,0.00,1.00)",Wall North,"(-11.78,3.31,12.25)",10.88,Wall West,"(-14.21,1.10,8.26)",7.48
1250,"(-11.24,3.31,0.87)","(-0.05,0.00,1.00)",Wall North,"(-11.78,3.31,12.25)",11.28,Door 1 Wiring - 3,"(-14.04,1.21,7.54)",7.11
1260,"(-11.22,3.31,0.45)","(-0.05,0.00,1.00)",Wall North,"(-11.78,3.31,12.25)",11.78,Door 1 Wiring - 3,"(-14.17,1.10,7.38)",7.50
1270,"(-11.20,3.31,0.05)","(-0.05,0.00,1.00)",Wall North,"(-11.78,3.31,12.25)",12.18,Wall West,"(-14.21,1.06,7.09)",7.63
1280,"(-11.19,3.31,-0.35)","(-0.05,0.00,1.00)",Wall North,"(-11.78,3.31,12.25)",12.58,Wall West,"(-14.21,1.04,6.73)",7.68
1290,"(-11.17,3.31,-0.75)","(-0.05,0.00,1.00)",Wall North,"(-11.78,3.31,12.25)",12.98,Wall West,"(-14.21,1.03,6.37)",7.73
1300,"(-11.15,3.31,-1.19)","(-0.05,0.00,1.00)",Wall North,"(-11.78,3.31,12.25)",13.38,Wall West,"(-14.21,1.01,6.01)",7.77
1310,"(-11.13,3.31,-1.59)","(-0.05,0.00,1.00)",Wall North,"(-11.78,3.31,12.25)",13.78,Wall West,"(-14.21,1.00,5.65)",7.82
1320,"(-11.11,3.31,-1.99)","(-0.05,0.00,1.00)",Wall North,"(-11.78,3.31,12.25)",14.18,Wall West,"(-14.21,0.99,5.29)",7.86
1330,"(-11.09,3.31,-2.39)","(-0.05,0.00,1.00)",Wall North,"(-11.78,3.31,12.25)",14.58,Wall West,"(-14.21,0.97,4.93)",7.91
